keys,ru,en,fr,it,de,es,pt_br,uk,ja,ko,zh_tw,ar,nl,id,hi,tr,zh_cn,th,vi,pl
Английский,Английский,English,Anglais,Inglese,Englisch,ingles,Inglês,Англійська,英語,영어,英語,الإنجليزية,Engels,bahasa Inggris,अंग्रेजी,İngilizce,英语,อังกฤษ,Tiếng Anh,Angielski
Украинский,Украинский,Ukrainian,Ukrainien,ucraino,Ukrainisch,Ucraniano,Ucraniano,Українська,ウクライナ語,우크라이나어,烏克蘭語,الأوكرانية,Oekraïens,Ukraina,यूक्रेनी,Ukraynaca,乌克兰语,ภาษายูเครน,tiếng Ukraina,ukraiński
Немецкий,Немецкий,German,Allemand,tedesco,Deutsch,alemán,Alemão,Німецька,ドイツ語,독일어,德文,الألمانية,Duits,Jerman,जर्मन,Almanca,德语,เยอรมัน,tiếng Đức,niemiecki
Французский,Французский,French,Français,francese,Französisch,francés,Francês,Французька,フランス語,프랑스어,法語,الفرنسية,Frans,Perancis,फ़्रेंच,Fransızca,法语,ฝรั่งเศส,người Pháp,Francuski
Испанский,Испанский,Spanish,Espagnol,spagnolo,Spanisch,español,Espanhol,Іспанська,スペイン語,스페인어,西班牙語,الاسبانية,Spaans,Spanyol,स्पैनिश,İspanyolca,西班牙语,สเปน,tiếng Tây Ban Nha,Hiszpański
Итальянский,Итальянский,Italian,Italien,italiano,Italienisch,italiano,Italiano,Італійська,イタリア語,이탈리아어,義大利語,ايطالي,Italiaans,Italia,इटालियन,İtalyanca,意大利语,ภาษาอิตาลี,người Ý,włoski
Португальский,Португальский,Portuguese,Portugais,Portoghese,Portugiesisch,portugués,Português,Португальська,ポルトガル語,포르투갈어,葡萄牙語,البرتغالية,Portugees,Portugis,पुर्तगाली,Portekizce,葡萄牙语,โปรตุเกส,tiếng Bồ Đào Nha,portugalski
Польский,Польский,Polish,Polonais,Polacco,Polnisch,polaco,Polonês,Польська,ポーランド語,폴란드어,波蘭語,البولندية,Pools,Polandia,पोलिश,Lehçe,波兰语,โปแลนด์,tiếng Ba Lan,Polski
Турецкий,Турецкий,Turkish,Turc,Turco,Türkisch,turco,Turco,Турецька,トルコ語,터키어,土耳其語,تركي,Turks,Turki,तुर्की,Türkçe,土耳其语,ภาษาตุรกี,tiếng Thổ Nhĩ Kỳ,turecki
Нидерландский,Нидерландский,Dutch,Néerlandais,olandese,Niederländisch,holandés,Holandês,Нідерландська,オランダ語,네덜란드어,荷蘭語,الهولندية,Nederlands,Belanda,डच,Hollandaca,荷兰语,ภาษาดัตช์,tiếng Hà Lan,holenderski
Чешский,Чешский,Czech,tchèque,ceco,Tschechisch,checo,Tcheco,Чеська,チェコ語,체코어,捷克語,التشيكية,Tsjechisch,Ceko,चेक,Çek,捷克语,เช็ก,tiếng Séc,czeski
Греческий,Греческий,Greek,grec,greco,Griechisch,griego,Grego,Грецька,ギリシャ語,그리스어,希臘文,اليونانية,Grieks,Yunani,यूनानी,Yunanca,希腊语,ภาษากรีก,tiếng Hy Lạp,grecki
Шведский,Шведский,Swedish,suédois,Svedese,Schwedisch,sueco,Sueco,Шведський,スウェーデン語,스웨덴어,瑞典語,السويدية,Zweeds,Swedia,स्वीडिश,İsveççe,瑞典语,ภาษาสวีเดน,tiếng Thụy Điển,szwedzki
Финский,Финский,Finnish,Finnois,finlandese,Finnisch,finlandés,Finlandês,Фінський,フィンランド語,핀란드어,芬蘭語,الفنلندية,Fins,Finlandia,फ़िनिश,Fince,芬兰语,ภาษาฟินแลนด์,tiếng Phần Lan,fiński
Иврит,Иврит,Hebrew,Hébreu,Ebraico,Hebräisch,hebreo,Hebraico,Іврит,ヘブライ語,히브리어,希伯來文,العبرية,Hebreeuws,Ibrani,हिब्रू,İbranice,希伯来语,ภาษาฮีบรู,tiếng Do Thái,hebrajski
Арабский,Арабский,Arabic,arabe,Arabo,Arabisch,árabe,Árabe,Арабська,アラビア語,아랍어,阿拉伯語,العربية,Arabisch,Arab,अरबी,Arapça,阿拉伯语,ภาษาอาหรับ,tiếng Ả Rập,Arabski
Хинди,Хинди,Hindi,hindi,Hindi,Hindi,hindi,Hindi,Хінді,ヒンディー語,힌디어,印地語,الهندية,Hindi,bahasa Hindi,हिंदी,Hintçe,印地语,ฮินดี,Tiếng Hindi,hindi
Индонезийский,Индонезийский,Indonesian,Indonésien,Indonesiano,Indonesisch,indonesio,Indonésio,Індонезійська,インドネシア語,인도네시아어,印尼語,الاندونيسية,Indonesisch,bahasa Indonesia,इन्डोनेशियाई,Endonezya dili,印度尼西亚语,อินโดนีเซีย,tiếng Indonesia,Indonezyjski
Вьетнамский,Вьетнамский,Vietnamese,Vietnamien,Vietnamita,Vietnamesisch,vietnamita,Vietnamita,В'єтнамська,ベトナム語,베트남어,越南語,الفيتنامية,Vietnamees,Vietnam,वियतनामी,Vietnamca,越南语,ภาษาเวียดนาม,Tiếng Việt,wietnamski
Тайский,Тайский,Thai,Thaï,tailandese,Thailändisch,tailandés,Tailandês,Тайська,タイ語,태국어,泰語,التايلاندية,Thais,Thailand,थाई,Tay dili,泰语,ไทย,Thái,Tajski
Японский,Японский,Japanese,Japonais,giapponese,Japanisch,japonés,Japonês,Японська,日本語,일본어,日語,اليابانية,Japans,Jepang,जापानी,Japonca,日语,ภาษาญี่ปุ่น,tiếng Nhật,Japoński
Корейский,Корейский,Korean,Coréen,coreano,Koreanisch,coreano,Coreano,Корейська,韓国人,한국어,韓語,الكورية,Koreaans,Korea,कोरियाई,Korece,韩语,เกาหลี,Tiếng Hàn,koreański
Китайский,Китайский,Chinese,Chinois,Cinese,Chinesisch,chino,Chinês,Китайська,中国語,중국어,中文,صيني,Chinees,Cina,चीनी,Çince,中文,จีน,Tiếng Trung,chiński
Не скрывать,Не скрывать,Never,Ne te cache pas,Non nasconderti,Versteck dich nicht,no te escondas,Não se esconda,Не приховувати,隠さないでください,숨지 마세요,不要隱藏,لا تخفي,Verberg je niet,Jangan bersembunyi,छिपाओ मत,Saklanma,不要隐藏,อย่าซ่อน,Đừng trốn tránh,Nie ukrywaj się
Через 5 с,Через 5 с,After 5 s,Après 5 s,Dopo 5 secondi,Nach 5 s,Después de 5 segundos,Depois de 5 segundos,Через 5 с,5秒後,5초 후,5秒後,بعد 5 ثواني,Na 5 sec,Setelah 5 detik,5 सेकंड के बाद,5 saniye sonra,5秒后,หลังจาก 5 วิ,Sau 5 giây,Po 5 sekundach
Через 10 с,Через 10 с,After 10 s,Après 10 s,Dopo 10 secondi,Nach 10 s,Después de 10 s,Depois de 10s,Через 10 с,10秒後,10초 후,10秒後,بعد 10 ثانية,Na 10 sec,Setelah 10 detik,10 सेकंड के बाद,10 saniye sonra,10秒后,หลังจาก 10 วินาที,Sau 10 giây,Po 10 sek
Через 20 с,Через 20 с,After 20 s,Après 20 s,Dopo 20 secondi,Nach 20 s,Después de 20 s,Depois dos 20s,Через 20 с,20秒後,20초 후,20秒後,بعد 20 ثانية,Na 20 sec,Setelah 20 detik,20 एस के बाद,20 saniye sonra,20秒后,หลังจากผ่านไป 20 วินาที,Sau 20 giây,Po 20 sek
Через 45 с,Через 45 с,After 45 s,Après 45 s,Dopo 45 s,Nach 45 s,Después de 45 s,Depois de 45 segundos,Через 45 с,45秒後,45초 후,45秒後,بعد 45 ثانية,Na 45 sec,Setelah 45 detik,45 एस के बाद,45 saniye sonra,45秒后,หลังจาก 45 วิ,Sau 45 giây,Po 45 sek
Под цвет игры,Под цвет игры,Match the game,Faites correspondre la couleur du jeu,Abbina il colore del gioco,Passen Sie die Farbe des Spiels an,Combina el color del juego.,Combine a cor do jogo,Під колір гри,ゲームの色に合わせて,게임의 색상을 일치,搭配遊戲的顏色,تطابق لون اللعبة,Match de kleur van het spel,Cocokkan dengan warna permainan,खेल के रंग का मिलान करें,Oyunun rengini eşleştirin,匹配游戏的颜色,จับคู่สีของเกม,Phù hợp với màu sắc của trò chơi,Dopasuj kolor gry
Тёмная подложка,Тёмная подложка,Dark backdrop,Fond sombre,Sfondo scuro,Dunkler Hintergrund,fondo oscuro,Fundo escuro,Темна підкладка,暗い背景,어두운 배경,深色背景,خلفية داكنة,Donkere achtergrond,Latar belakang gelap,गहरे रंग की पृष्ठभूमि,Koyu arka plan,深色背景,พื้นหลังสีเข้ม,Nền tối,Ciemne tło
Светлая подложка,Светлая подложка,Light backdrop,Fond clair,Sfondo chiaro,Heller Hintergrund,fondo claro,Fundo claro,Світла підкладка,明るい背景,밝은 배경,淺色背景,خلفية فاتحة,Lichte achtergrond,Latar belakang terang,हल्की पृष्ठभूमि,Açık renkli,浅色背景,พื้นหลังสีอ่อน,Nền sáng,Jasne tło
Как в системе,Как в системе,System default,Comme dans le système,Come nel sistema,Wie im System,Como en el sistema,Como no sistema,Як у системі,システムと同じように,시스템에서와 마찬가지로,正如係統中的,كما هو الحال في النظام,Zoals in het systeem,Seperti dalam sistem,जैसा कि सिस्टम में है,Sistemde olduğu gibi,正如系统中的,เช่นเดียวกับในระบบ,Như trong hệ thống,Jak w systemie
Кэш переводов очищается только на Android.,Кэш переводов очищается только на Android.,The translation cache can only be cleared on Android.,Le cache de traduction est vidé uniquement sur Android.,La cache di traduzione viene cancellata solo su Android.,Der Übersetzungscache wird nur auf Android geleert.,La caché de traducción se borra sólo en Android.,O cache de tradução é limpo apenas no Android.,Кеш перекладів очищається лише на Android.,翻訳キャッシュは Android でのみクリアされます。,번역 캐시는 Android에서만 지워집니다.,僅在 Android 上清除翻譯快取。,يتم مسح ذاكرة التخزين المؤقت للترجمة على نظام Android فقط.,De vertaalcache wordt alleen op Android gewist.,Cache terjemahan hanya dibersihkan di Android.,अनुवाद कैश केवल Android पर साफ़ किया जाता है।,Çeviri önbelleği yalnızca Android'de temizlenir.,仅在 Android 上清除翻译缓存。,แคชการแปลจะถูกล้างบน Android เท่านั้น,Bộ đệm dịch chỉ bị xóa trên Android.,Pamięć podręczna tłumaczeń jest czyszczona tylko na Androidzie.
"Снимок делается через MediaProjection только в момент нажатия. Текст распознаёт ML Kit (модель по письменности из настроек), язык определяется автоматически, перевод — офлайн через ML Kit или онлайн через выбранный движок. Повторяющиеся надписи берутся из кэша мгновенно.","Снимок делается через MediaProjection только в момент нажатия. Текст распознаёт ML Kit (модель по письменности из настроек), язык определяется автоматически, перевод — офлайн через ML Kit или онлайн через выбранный движок. Повторяющиеся надписи берутся из кэша мгновенно.","The screen is captured via MediaProjection only when you tap. ML Kit recognizes the text (model chosen by the script in Settings), the language is detected automatically, and translation runs offline with ML Kit or online with the engine you picked. Repeated strings come from the cache instantly.","La photo est prise via MediaProjection uniquement au moment du clic. Le texte est reconnu par ML Kit (modèle basé sur l'écriture à partir des paramètres), la langue est détectée automatiquement, la traduction se fait hors ligne via ML Kit ou en ligne via le moteur sélectionné. Les inscriptions répétées sont instantanément supprimées du cache.","L'immagine viene scattata tramite MediaProjection solo al momento del clic. Il testo viene riconosciuto da ML Kit (modello basato sulla scrittura dalle impostazioni), la lingua viene rilevata automaticamente, la traduzione viene effettuata offline tramite ML Kit oppure online tramite il motore selezionato. Le iscrizioni ripetute vengono prelevate immediatamente dalla cache.","Das Bild wird durch MediaProjection erst im Moment des Klickens aufgenommen. Der Text wird von ML Kit erkannt (Modell basierend auf dem Schreiben aus den Einstellungen), die Sprache wird automatisch erkannt, die Übersetzung erfolgt offline über ML Kit oder online über die ausgewählte Engine. Wiederholte Inschriften werden sofort aus dem Cache entnommen.","La fotografía se toma a través de MediaProjection solo en el momento de hacer clic. El texto es reconocido por ML Kit (modelo basado en la escritura desde la configuración), el idioma se detecta automáticamente, la traducción se realiza sin conexión a través de ML Kit o en línea a través del motor seleccionado. Las inscripciones repetidas se eliminan instantáneamente del caché.","A foto é tirada através do MediaProjection apenas no momento do clique. O texto é reconhecido pelo ML Kit (modelo baseado na escrita das configurações), o idioma é detectado automaticamente, a tradução é feita offline através do ML Kit ou online através do motor selecionado. Inscrições repetidas são retiradas do cache instantaneamente.","Знімок робиться через MediaProjection лише у момент натискання. Текст розпізнає ML Kit (модель за писемністю з налаштувань), мова визначається автоматично, переклад - офлайн через ML Kit або онлайн через вибраний движок. Написи, що повторюються, беруться з кешу миттєво.",画像は、クリックした瞬間のみ MediaProjection を通じて撮影されます。テキストは ML Kit (設定からの書き込みに基づくモデル) によって認識され、言語が自動的に検出され、翻訳は ML Kit を通じてオフラインで、または選択したエンジンを通じてオンラインで行われます。繰り返された碑文は即座にキャッシュから取得されます。,"클릭하는 순간에만 MediaProjection을 통해 사진이 촬영됩니다. 텍스트는 ML Kit(설정에서 쓰기 기반 모델)에 의해 인식되고, 언어가 자동으로 감지되며, 번역은 ML Kit를 통해 오프라인으로 수행되거나 선택한 엔진을 통해 온라인으로 수행됩니다. 반복되는 비문은 즉시 캐시에서 가져옵니다.",僅在單擊時透過 MediaProjection 拍攝圖片。文字由 ML Kit（基於設定書寫的模型）識別，自動偵測語言，透過 ML Kit 離線完成或透過所選引擎線上完成翻譯。重複的銘文會立即從快取中取出。,يتم التقاط الصورة من خلال MediaProjection فقط في لحظة النقر. يتم التعرف على النص بواسطة ML Kit (نموذج يعتمد على الكتابة من الإعدادات)، ويتم اكتشاف اللغة تلقائيًا، وتتم الترجمة دون الاتصال بالإنترنت من خلال ML Kit أو عبر الإنترنت من خلال المحرك المحدد. يتم أخذ النقوش المتكررة من ذاكرة التخزين المؤقت على الفور.,"De foto wordt alleen via MediaProjection gemaakt op het moment dat u klikt. De tekst wordt herkend door ML Kit (model gebaseerd op schrijven vanuit de instellingen), de taal wordt automatisch gedetecteerd, de vertaling gebeurt offline via ML Kit of online via de geselecteerde engine. Herhaalde inscripties worden onmiddellijk uit de cache gehaald.","Gambar diambil melalui MediaProjection hanya pada saat diklik. Teks dikenali oleh ML Kit (model berdasarkan penulisan dari pengaturan), bahasa terdeteksi secara otomatis, terjemahan dilakukan secara offline melalui ML Kit atau online melalui mesin yang dipilih. Prasasti berulang diambil dari cache secara instan.","क्लिक करते समय ही तस्वीर मीडियाप्रोजेक्शन के माध्यम से ली गई है। पाठ को एमएल किट (सेटिंग्स से लेखन के आधार पर मॉडल) द्वारा पहचाना जाता है, भाषा का स्वचालित रूप से पता लगाया जाता है, अनुवाद एमएल किट के माध्यम से ऑफ़लाइन या चयनित इंजन के माध्यम से ऑनलाइन किया जाता है। बार-बार लिखे गए शिलालेख तुरंत कैश से ले लिए जाते हैं।","Resim MediaProjection aracılığıyla yalnızca tıklama anında çekilir. Metin ML Kit tarafından tanınır (ayarlardan yazmaya dayalı model), dil otomatik olarak algılanır, çeviri ML Kit aracılığıyla çevrimdışı veya seçilen motor aracılığıyla çevrimiçi olarak yapılır. Tekrarlanan yazıtlar anında önbellekten alınır.",仅在单击时通过 MediaProjection 拍摄图片。文本由 ML Kit（基于设置书写的模型）识别，自动检测语言，通过 ML Kit 离线完成或通过所选引擎在线完成翻译。重复的铭文会立即从缓存中取出。,ภาพจะถูกถ่ายผ่าน MediaProjection ในขณะที่คลิกเท่านั้น ข้อความได้รับการยอมรับโดย ML Kit (แบบจำลองตามการเขียนจากการตั้งค่า) ตรวจพบภาษาโดยอัตโนมัติ การแปลเสร็จสิ้นแบบออฟไลน์ผ่าน ML Kit หรือออนไลน์ผ่านเอ็นจิ้นที่เลือก คำจารึกซ้ำ ๆ จะถูกพรากไปจากแคชทันที,"Hình ảnh chỉ được chụp qua MediaProjection tại thời điểm nhấp chuột. Văn bản được ML Kit nhận dạng (mô hình dựa trên văn bản từ cài đặt), ngôn ngữ được phát hiện tự động, bản dịch được thực hiện ngoại tuyến thông qua ML Kit hoặc trực tuyến thông qua công cụ đã chọn. Các dòng chữ lặp lại sẽ được lấy từ bộ đệm ngay lập tức.","Zdjęcie jest robione poprzez MediaProjection dopiero w momencie kliknięcia. Tekst rozpoznawany jest przez ML Kit (model na podstawie zapisu z ustawień), język wykrywany jest automatycznie, tłumaczenie odbywa się offline poprzez ML Kit lub online poprzez wybrany silnik. Powtarzające się napisy są natychmiast pobierane z pamięci podręcznej."
Движки перевода,Движки перевода,Translation engines,Moteurs de traduction,Motori di traduzione,Übersetzungsmaschinen,Motores de traducción,Mecanismos de tradução,Рухи перекладу,翻訳エンジン,번역 엔진,翻譯引擎,محركات الترجمة,Vertaalmachines,Mesin terjemahan,अनुवाद इंजन,Çeviri motorları,翻译引擎,เครื่องมือการแปล,Công cụ dịch thuật,Silniki tłumaczeniowe
"ML Kit переводит офлайн и быстро: модель пары языков (≈30 МБ) скачивается один раз. Google Translate и MyMemory работают онлайн без ключа. Нейросетевые движки — Claude, ChatGPT, Gemini, Groq, DeepSeek, Mistral, OpenRouter — переводят весь экран целиком, учитывая контекст и игровую терминологию; DeepL, Google Cloud и Yandex — официальные API. Для них нужен свой ключ (ссылка «Где взять ключ» в настройках). Если онлайн-перевод недоступен, автоматически используется ML Kit.","ML Kit переводит офлайн и быстро: модель пары языков (≈30 МБ) скачивается один раз. Google Translate и MyMemory работают онлайн без ключа. Нейросетевые движки — Claude, ChatGPT, Gemini, Groq, DeepSeek, Mistral, OpenRouter — переводят весь экран целиком, учитывая контекст и игровую терминологию; DeepL, Google Cloud и Yandex — официальные API. Для них нужен свой ключ (ссылка «Где взять ключ» в настройках). Если онлайн-перевод недоступен, автоматически используется ML Kit.","ML Kit translates offline and fast: a language-pair model (≈30 MB) is downloaded once. Google Translate and MyMemory work online without a key. LLM engines — Claude, ChatGPT, Gemini, Groq, DeepSeek, Mistral, OpenRouter — translate the whole screen at once with context and game terminology in mind; DeepL, Google Cloud and Yandex are official APIs. They need your own key (see “Where to get a key” in Settings). If online translation is unavailable, ML Kit is used automatically.","ML Kit traduit hors ligne et rapidement : le modèle de paire de langues (≈30 Mo) est téléchargé une seule fois. Google Translate et MyMemory fonctionnent en ligne sans clé. Les moteurs de réseaux neuronaux - Claude, ChatGPT, Gemini, Groq, DeepSeek, Mistral, OpenRouter - traduisent l'intégralité de l'écran en tenant compte du contexte et de la terminologie du jeu ; DeepL, Google Cloud et Yandex sont des API officielles. Ils nécessitent leur propre clé (lien « Où obtenir la clé » dans les paramètres). Si la traduction en ligne n'est pas disponible, ML Kit est automatiquement utilisé.","ML Kit traduce offline e velocemente: il modello di combinazione linguistica (≈30 MB) viene scaricato una volta. Google Translate e MyMemory funzionano online senza chiave. I motori di rete neurale - Claude, ChatGPT, Gemini, Groq, DeepSeek, Mistral, OpenRouter - traducono l'intero schermo, tenendo conto del contesto e della terminologia del gioco; DeepL, Google Cloud e Yandex sono API ufficiali. Richiedono la propria chiave (link ""Dove trovare la chiave"" nelle impostazioni). Se la traduzione online non è disponibile, viene utilizzato automaticamente ML Kit.","ML Kit übersetzt offline und schnell: Das Sprachpaarmodell (≈30 MB) wird einmal heruntergeladen. Google Translate und MyMemory funktionieren online ohne Schlüssel. Neuronale Netzwerk-Engines – Claude, ChatGPT, Gemini, Groq, DeepSeek, Mistral, OpenRouter – übersetzen den gesamten Bildschirm unter Berücksichtigung des Kontexts und der Spielterminologie; DeepL, Google Cloud und Yandex sind offizielle APIs. Sie benötigen einen eigenen Schlüssel (Link „Wo bekomme ich den Schlüssel“ in den Einstellungen). Wenn keine Online-Übersetzung verfügbar ist, wird automatisch ML Kit verwendet.","ML Kit traduce sin conexión y rápidamente: el modelo de par de idiomas (≈30 MB) se descarga una vez. Google Translate y MyMemory funcionan en línea sin clave. Los motores de redes neuronales (Claude, ChatGPT, Gemini, Groq, DeepSeek, Mistral, OpenRouter) traducen toda la pantalla, teniendo en cuenta el contexto y la terminología del juego; DeepL, Google Cloud y Yandex son API oficiales. Requieren su propia clave (enlace ""Dónde conseguir la clave"" en la configuración). Si la traducción en línea no está disponible, el kit ML se utiliza automáticamente.","O ML Kit é traduzido off-line e rapidamente: o modelo de par de idiomas (≈30 MB) é baixado uma vez. O Google Translate e o MyMemory funcionam online sem chave. Motores de redes neurais - Claude, ChatGPT, Gemini, Groq, DeepSeek, Mistral, OpenRouter - traduzem a tela inteira, levando em consideração o contexto e a terminologia do jogo; DeepL, Google Cloud e Yandex são APIs oficiais. Eles exigem uma chave própria (link “Onde conseguir a chave” nas configurações). Se a tradução online não estiver disponível, o ML Kit será usado automaticamente.","ML Kit перекладає офлайн і швидко: модель пари мов (30 МБ) скачується один раз. Google Translate та MyMemory працюють онлайн без ключа. Нейромережеві двигуни - Claude, ChatGPT, Gemini, Groq, DeepSeek, Mistral, OpenRouter - перекладають весь екран повністю, враховуючи контекст та ігрову термінологію; DeepL, Google Cloud та Yandex – офіційні API. Для них потрібний свій ключ (посилання «Де взяти ключ» у налаштуваннях). Якщо онлайновий переклад недоступний, автоматично використовується ML Kit.",ML Kit はオフラインで迅速に翻訳します。言語ペア モデル (約 30 MB) は 1 回ダウンロードされます。 Google 翻訳と MyMemory は、キーなしでオンラインで動作します。ニューラル ネットワーク エンジン - Claude、ChatGPT、Gemini、Groq、DeepSeek、Mistral、OpenRouter - は、コンテキストとゲーム用語を考慮して画面全体を翻訳します。 DeepL、Google Cloud、Yandex は公式 API です。独自のキーが必要です (設定の「キーの入手先」のリンク)。オンライン翻訳が利用できない場合は、ML Kit が自動的に使用されます。,"ML Kit는 오프라인으로 빠르게 번역됩니다. 언어 쌍 모델(약 30MB)이 한 번 다운로드됩니다. Google 번역과 MyMemory는 키 없이 온라인으로 작동합니다. 신경망 엔진(Claude, ChatGPT, Gemini, Groq, DeepSeek, Mistral, OpenRouter)은 상황과 게임 용어를 고려하여 전체 화면을 번역합니다. DeepL, Google Cloud 및 Yandex는 공식 API입니다. 자체 키가 필요합니다(설정에서 ""키를 얻을 수 있는 곳"" 링크). 온라인 번역이 불가능한 경우 ML Kit가 자동으로 사용됩니다.",ML Kit 可以離線快速翻譯：語言對模型（約 30 MB）下載一次。 Google Translate 和 MyMemory 無需鑰匙即可在線工作。神經網路引擎 - Claude、ChatGPT、Gemini、Groq、DeepSeek、Mistral、OpenRouter - 翻譯整個螢幕，同時考慮上下文和遊戲術語； DeepL、Google Cloud 和 Yandex 是官方 API。他們需要自己的密鑰（連結設定中的“從哪裡獲取密鑰”）。如果線上翻譯不可用，則會自動使用 ML Kit。,"تترجم ML Kit دون الاتصال بالإنترنت وبسرعة: يتم تنزيل نموذج الزوج اللغوي (≈30 ميجابايت) مرة واحدة. تعمل خدمة Google Translate وMyMemory عبر الإنترنت بدون مفتاح. محركات الشبكة العصبية - Claude، ChatGPT، Gemini، Groq، DeepSeek، Mistral، OpenRouter - تترجم الشاشة بأكملها، مع مراعاة السياق ومصطلحات اللعبة؛ DeepL وGoogle Cloud وYandex هي واجهات برمجة تطبيقات رسمية. إنهم يحتاجون إلى مفتاحهم الخاص (رابط ""أين يمكن الحصول على المفتاح"" في الإعدادات). إذا لم تكن الترجمة عبر الإنترنت متاحة، فسيتم استخدام ML Kit تلقائيًا.","ML Kit vertaalt offline en snel: het talenpaarmodel (≈30 MB) wordt één keer gedownload. Google Translate en MyMemory werken online zonder sleutel. Neurale netwerkmotoren - Claude, ChatGPT, Gemini, Groq, DeepSeek, Mistral, OpenRouter - vertalen het hele scherm, rekening houdend met de context en spelterminologie; DeepL, Google Cloud en Yandex zijn officiële API's. Ze hebben een eigen sleutel nodig (link “Waar kan ik de sleutel verkrijgen” in de instellingen). Als online vertaling niet beschikbaar is, wordt automatisch ML Kit gebruikt.","ML Kit diterjemahkan secara offline dan cepat: model pasangan bahasa (≈30 MB) diunduh satu kali. Google Terjemahan dan MyMemory berfungsi online tanpa kunci. Mesin jaringan saraf - Claude, ChatGPT, Gemini, Groq, DeepSeek, Mistral, OpenRouter - menerjemahkan seluruh layar, dengan mempertimbangkan konteks dan terminologi permainan; DeepL, Google Cloud, dan Yandex adalah API resmi. Mereka memerlukan kuncinya sendiri (tautan “Di mana mendapatkan kunci” di pengaturan). Jika terjemahan online tidak tersedia, ML Kit digunakan secara otomatis.","एमएल किट ऑफ़लाइन और शीघ्रता से अनुवाद करता है: भाषा युग्म मॉडल (≈30 एमबी) एक बार डाउनलोड किया जाता है। Google Translate और MyMemory बिना कुंजी के ऑनलाइन काम करते हैं। तंत्रिका नेटवर्क इंजन - क्लाउड, चैटजीपीटी, जेमिनी, ग्रोक, डीपसीक, मिस्ट्रल, ओपनराउटर - संदर्भ और गेम शब्दावली को ध्यान में रखते हुए, संपूर्ण स्क्रीन का अनुवाद करते हैं; डीपएल, गूगल क्लाउड और यांडेक्स आधिकारिक एपीआई हैं। उन्हें अपनी स्वयं की कुंजी की आवश्यकता होती है (सेटिंग्स में लिंक ""कुंजी कहां प्राप्त करें"")। यदि ऑनलाइन अनुवाद उपलब्ध नहीं है, तो एमएल किट का स्वचालित रूप से उपयोग किया जाता है।","ML Kiti çevrimdışı ve hızlı bir şekilde çevirir: dil çifti modeli (≈30 MB) bir kez indirilir. Google Translate ve MyMemory anahtar olmadan çevrimiçi çalışır. Sinir ağı motorları - Claude, ChatGPT, Gemini, Groq, DeepSeek, Mistral, OpenRouter - bağlamı ve oyun terminolojisini dikkate alarak tüm ekranı çevirir; DeepL, Google Cloud ve Yandex resmi API'lerdir. Kendi anahtarlarına ihtiyaç duyarlar (ayarlardaki “Anahtar nereden alınır” bağlantısı). Çevrimiçi çeviri mevcut değilse otomatik olarak ML Kit kullanılır.",ML Kit 可以离线快速翻译：语言对模型（约 30 MB）下载一次。 Google Translate 和 MyMemory 无需钥匙即可在线工作。神经网络引擎 - Claude、ChatGPT、Gemini、Groq、DeepSeek、Mistral、OpenRouter - 翻译整个屏幕，同时考虑上下文和游戏术语； DeepL、Google Cloud 和 Yandex 是官方 API。他们需要自己的密钥（链接设置中的“从哪里获取密钥”）。如果在线翻译不可用，则会自动使用 ML Kit。,"ML Kit แปลแบบออฟไลน์และรวดเร็ว: ดาวน์โหลดโมเดลคู่ภาษา (ประมาณ 30 MB) หนึ่งครั้ง Google Translate และ MyMemory ทำงานออนไลน์ได้โดยไม่ต้องใช้กุญแจ เอ็นจิ้นเครือข่ายประสาทเทียม - Claude, ChatGPT, Gemini, Groq, DeepSeek, Mistral, OpenRouter - แปลทั้งหน้าจอโดยคำนึงถึงบริบทและคำศัพท์ของเกม DeepL, Google Cloud และ Yandex เป็น API อย่างเป็นทางการ พวกเขาต้องการรหัสของตนเอง (ลิงก์ ""สถานที่รับกุญแจ"" ในการตั้งค่า) หากไม่มีการแปลออนไลน์ ML Kit จะถูกใช้งานโดยอัตโนมัติ","ML Kit dịch ngoại tuyến và nhanh chóng: mô hình cặp ngôn ngữ (≈30 MB) được tải xuống một lần. Google Translate và MyMemory hoạt động trực tuyến mà không cần chìa khóa. Các công cụ mạng thần kinh - Claude, ChatGPT, Gemini, Groq, DeepSeek, Mistral, OpenRouter - dịch toàn bộ màn hình, có tính đến ngữ cảnh và thuật ngữ trò chơi; DeepL, Google Cloud và Yandex là các API chính thức. Họ yêu cầu chìa khóa riêng (liên kết “Lấy chìa khóa ở đâu” trong cài đặt). Nếu bản dịch trực tuyến không có sẵn, ML Kit sẽ tự động được sử dụng.","ML Kit tłumaczy offline i szybko: model pary językowej (≈30 MB) jest pobierany jednorazowo. Tłumacz Google i MyMemory działają online bez klucza. Silniki sieci neuronowych - Claude, ChatGPT, Gemini, Groq, DeepSeek, Mistral, OpenRouter - tłumaczą cały ekran, biorąc pod uwagę kontekst i terminologię gry; DeepL, Google Cloud i Yandex to oficjalne interfejsy API. Wymagają własnego klucza (link „Gdzie zdobyć klucz” w ustawieniach). Jeśli tłumaczenie online nie jest dostępne, automatycznie używany jest zestaw ML Kit."
